event_id,ticker,event_date,control_date,treated_5d_ar,control_5d_ar,difference
1,TSLA,2023-10-13,2020-10-16,-0.131929,-0.038957,-0.092971
2,GOOGL,2023-10-13,2022-10-18,0.011080,-0.000340,0.011421
3,AMZN,2023-06-23,2020-06-22,-0.015281,0.007509,-0.022790
4,NVDA,2023-06-23,2023-06-05,-0.021042,-0.007644,-0.013398
5,TSLA,2023-06-23,2023-06-08,-0.003097,0.058196,-0.061293
6,PYPL,2026-03-09,2026-03-18,-0.002408,0.010089,-0.012497
7,MSFT,2026-02-06,2021-02-26,0.013292,-0.011953,0.025246
8,UBER,2026-02-06,2022-02-03,-0.051086,0.086845,-0.137931
9,NVDA,2026-02-06,2022-02-09,-0.001179,0.016646,-0.017826
10,NFLX,2026-02-06,2021-02-18,-0.051998,0.018700,-0.070699
11,NFLX,2023-02-10,2021-02-16,0.003639,-0.007736,0.011375
12,AMZN,2023-06-16,2021-06-14,0.032912,0.027822,0.005090
13,NFLX,2023-06-16,2023-06-08,-0.018837,0.056307,-0.075144
14,NVDA,2023-06-16,2023-06-06,-0.030003,0.041209,-0.071212
15,TSLA,2023-06-16,2023-06-08,-0.056557,0.058196,-0.114753
16,GOOGL,2024-01-08,2022-01-20,0.025594,0.002443,0.023151
17,TSLA,2024-01-08,2022-01-10,-0.086118,-0.006717,-0.079402
18,TSLA,2023-08-18,2020-08-11,0.099248,0.355490,-0.256242
19,AAPL,2023-08-18,2023-08-28,0.015662,0.038142,-0.022480
20,AMZN,2023-03-03,2021-03-03,0.001285,-0.003876,0.005161
21,NVDA,2025-08-27,2021-08-05,-0.058586,-0.043053,-0.015533
22,NVDA,2025-08-27,2021-08-05,-0.058586,-0.043053,-0.015533
23,DIS,2023-10-06,2024-10-01,0.012437,-0.024376,0.036813
24,AMD,2023-10-06,2019-10-16,-0.024612,0.012892,-0.037503
25,MSFT,2023-10-06,2019-10-25,-0.003127,0.006193,-0.009320
26,AAPL,2023-10-06,2025-10-15,0.003099,0.032583,-0.029483
27,AAPL,2024-12-17,2019-12-31,0.020220,0.024441,-0.004221
28,NVDA,2023-05-24,2020-05-29,0.276211,-0.043883,0.320094
29,NFLX,2023-07-28,2024-07-30,0.035796,0.015726,0.020069
30,MSFT,2023-07-28,2022-07-27,-0.009171,0.017652,-0.026822
31,NFLX,2023-08-25,2022-08-29,0.031826,0.001962,0.029864
32,NFLX,2023-08-25,2022-08-29,0.031826,0.001962,0.029864
33,MSFT,2023-08-25,2020-08-04,-0.007916,-0.054764,0.046848
34,AAPL,2023-09-08,2022-09-22,-0.016476,-0.036630,0.020154
35,AAPL,2023-09-08,2022-09-22,-0.016476,-0.036630,0.020154
36,AAPL,2023-09-08,2022-09-22,-0.016476,-0.036630,0.020154
37,AAPL,2023-09-08,2022-09-22,-0.016476,-0.036630,0.020154
38,AAPL,2023-09-08,2022-09-22,-0.016476,-0.036630,0.020154
39,AAPL,2023-09-08,2022-09-22,-0.016476,-0.036630,0.020154
40,AMD,2025-07-11,2021-07-01,0.065840,-0.037653,0.103493
41,AMZN,2023-10-02,2020-10-05,-0.020924,0.038894,-0.059817
42,MSFT,2023-10-02,2021-10-11,0.013268,0.015631,-0.002363
43,MSFT,2023-10-02,2021-10-11,0.013268,0.015631,-0.002363
44,NVDA,2025-10-06,2024-10-01,0.027744,0.127810,-0.100066
45,MSFT,2023-07-07,2025-07-08,-0.000684,0.015624,-0.016308
46,AAPL,2023-11-20,2021-11-19,-0.006959,0.007219,-0.014178
47,AAPL,2023-11-20,2021-11-19,-0.006959,0.007219,-0.014178
48,UBER,2023-11-20,2023-11-29,0.025192,0.059067,-0.033876
49,PYPL,2023-08-07,2021-08-23,-0.012083,0.030371,-0.042454
50,MSFT,2024-11-01,2019-11-07,-0.017889,0.021896,-0.039784
51,MSFT,2024-11-01,2019-11-07,-0.017889,0.021896,-0.039784
52,TSLA,2023-04-14,2021-04-08,-0.107045,0.062514,-0.169560
53,MSFT,2023-04-14,2020-04-13,-0.000698,0.036189,-0.036886
54,NVDA,2024-02-01,2020-02-20,0.086297,-0.064191,0.150487
55,AMZN,2024-02-01,2022-02-15,0.047656,-0.020514,0.068170
