ticker,company_name,horizon,event_count,creator_count,top5_flag,mean_pre21_spy_bhar,right_censored,n,mean,median,t_stat,p_value,win_rate
AAPL,Apple,126D,231,25,True,0.006767,27,231,-0.010744,0.001184,-1.383,0.166526,0.5152
AAPL,Apple,21D,231,25,True,0.006767,5,231,0.004649,0.010397,1.289,0.197395,0.5931
AAPL,Apple,252D,231,25,True,0.006767,50,231,-0.005941,-0.008126,-0.856,0.391754,0.4589
AAPL,Apple,504D,231,25,True,0.006767,111,231,0.002956,0.003151,0.326,0.744242,0.5325
AAPL,Apple,5D,231,25,True,0.006767,0,231,0.000753,0.001321,0.403,0.686945,0.5152
AAPL,Apple,63D,231,25,True,0.006767,13,231,0.010528,0.013533,1.634,0.102294,0.5195
AAPL,Apple,end_of_sample,231,25,True,0.006767,0,231,0.049336,0.019070,5.303,0.000000,0.6320
AMC,nan,126D,20,4,False,-0.176474,0,20,-0.798521,-0.897541,-8.799,0.000000,0.0500
AMC,nan,21D,20,4,False,-0.176474,0,20,-0.511787,-0.426366,-6.401,0.000000,0.1500
AMC,nan,252D,20,4,False,-0.176474,0,20,-0.951743,-1.022206,-14.532,0.000000,0.0000
AMC,nan,504D,20,4,False,-0.176474,2,20,-1.333012,-1.363706,-43.846,0.000000,0.0000
AMC,nan,5D,20,4,False,-0.176474,0,20,-0.169987,-0.179681,-5.335,0.000000,0.1000
AMC,nan,63D,20,4,False,-0.176474,0,20,-0.538671,-0.558742,-6.509,0.000000,0.1500
AMC,nan,end_of_sample,20,4,False,-0.176474,0,20,-1.609381,-1.682888,-31.717,0.000000,0.0000
AMD,nan,126D,187,15,True,0.086839,89,187,0.492357,0.424340,15.360,0.000000,0.8930
AMD,nan,21D,187,15,True,0.086839,19,187,0.046256,-0.017955,3.081,0.002063,0.4545
AMD,nan,252D,187,15,True,0.086839,142,187,0.825693,0.845506,18.636,0.000000,0.9305
AMD,nan,504D,187,15,True,0.086839,161,187,1.028764,0.988689,20.590,0.000000,0.9626
AMD,nan,5D,187,15,True,0.086839,3,187,0.014920,0.010800,2.624,0.008695,0.5615
AMD,nan,63D,187,15,True,0.086839,36,187,0.268247,0.216987,8.894,0.000000,0.6578
AMD,nan,end_of_sample,187,15,True,0.086839,0,187,1.365634,1.075369,19.726,0.000000,1.0000
AMZN,Amazon,126D,246,28,True,-0.000248,68,246,0.045896,0.033689,5.843,0.000000,0.6301
AMZN,Amazon,21D,246,28,True,-0.000248,16,246,0.009560,0.014112,2.349,0.018828,0.5650
AMZN,Amazon,252D,246,28,True,-0.000248,90,246,0.072032,0.058136,6.962,0.000000,0.6951
AMZN,Amazon,504D,246,28,True,-0.000248,170,246,0.095344,0.074057,7.754,0.000000,0.7927
AMZN,Amazon,5D,246,28,True,-0.000248,1,246,0.000885,0.003818,0.355,0.722920,0.5325
AMZN,Amazon,63D,246,28,True,-0.000248,46,246,0.049093,0.046073,7.356,0.000000,0.6748
AMZN,Amazon,end_of_sample,246,28,True,-0.000248,0,246,0.135257,0.093760,8.971,0.000000,0.8659
COIN,Coinbase,126D,1,1,False,-0.162944,0,1,-0.464805,-0.464805,,,0.0000
COIN,Coinbase,21D,1,1,False,-0.162944,0,1,-0.167215,-0.167215,,,0.0000
COIN,Coinbase,252D,1,1,False,-0.162944,1,1,-0.469762,-0.469762,,,0.0000
COIN,Coinbase,504D,1,1,False,-0.162944,1,1,-0.469762,-0.469762,,,0.0000
COIN,Coinbase,5D,1,1,False,-0.162944,0,1,-0.056477,-0.056477,,,0.0000
COIN,Coinbase,63D,1,1,False,-0.162944,0,1,-0.505125,-0.505125,,,0.0000
COIN,Coinbase,end_of_sample,1,1,False,-0.162944,0,1,-0.469762,-0.469762,,,0.0000
CRM,nan,126D,5,2,False,-0.037360,0,5,-0.166305,-0.256298,-1.545,0.122464,0.2000
CRM,nan,21D,5,2,False,-0.037360,0,5,-0.014705,-0.009145,-1.834,0.066625,0.2000
CRM,nan,252D,5,2,False,-0.037360,2,5,-0.399893,-0.433536,-6.619,0.000000,0.0000
CRM,nan,504D,5,2,False,-0.037360,5,5,-0.626778,-0.719015,-8.373,0.000000,0.0000
CRM,nan,5D,5,2,False,-0.037360,0,5,-0.003752,-0.025458,-0.229,0.818884,0.4000
CRM,nan,63D,5,2,False,-0.037360,0,5,-0.044778,-0.028720,-1.087,0.277014,0.4000
CRM,nan,end_of_sample,5,2,False,-0.037360,0,5,-0.626778,-0.719015,-8.373,0.000000,0.0000
DIS,Disney,126D,32,11,False,-0.008898,2,32,-0.027987,-0.059776,-0.857,0.391312,0.3750
DIS,Disney,21D,32,11,False,-0.008898,0,32,0.011221,0.016589,0.995,0.319611,0.5312
DIS,Disney,252D,32,11,False,-0.008898,3,32,-0.149106,-0.148556,-6.505,0.000000,0.1250
DIS,Disney,504D,32,11,False,-0.008898,9,32,-0.279814,-0.271557,-9.089,0.000000,0.0938
DIS,Disney,5D,32,11,False,-0.008898,0,32,0.006137,0.003733,1.342,0.179500,0.7188
DIS,Disney,63D,32,11,False,-0.008898,1,32,0.024190,0.031649,1.164,0.244222,0.6250
DIS,Disney,end_of_sample,32,11,False,-0.008898,0,32,-0.511678,-0.480515,-10.033,0.000000,0.0000
GOOGL,Alphabet,126D,240,24,False,0.037448,56,240,0.158563,0.140549,11.825,0.000000,0.7917
GOOGL,Alphabet,21D,240,24,False,0.037448,15,240,0.026444,0.024487,5.056,0.000000,0.6083
GOOGL,Alphabet,252D,240,24,False,0.037448,99,240,0.297286,0.181235,13.949,0.000000,0.8375
GOOGL,Alphabet,504D,240,24,False,0.037448,164,240,0.591424,0.718675,22.287,0.000000,0.9625
GOOGL,Alphabet,5D,240,24,False,0.037448,3,240,0.010971,0.006320,4.438,0.000009,0.5792
GOOGL,Alphabet,63D,240,24,False,0.037448,20,240,0.069064,0.037885,7.537,0.000000,0.6667
GOOGL,Alphabet,end_of_sample,240,24,False,0.037448,0,240,0.939062,1.018375,24.965,0.000000,0.9958
HOOD,Robinhood,126D,9,3,False,-0.046322,9,9,-0.114659,-0.129073,-8.532,0.000000,0.0000
HOOD,Robinhood,21D,9,3,False,-0.046322,3,9,-0.028726,-0.032338,-0.937,0.348979,0.3333
HOOD,Robinhood,252D,9,3,False,-0.046322,9,9,-0.114659,-0.129073,-8.532,0.000000,0.0000
HOOD,Robinhood,504D,9,3,False,-0.046322,9,9,-0.114659,-0.129073,-8.532,0.000000,0.0000
HOOD,Robinhood,5D,9,3,False,-0.046322,0,9,-0.080028,-0.069866,-4.425,0.000010,0.0000
HOOD,Robinhood,63D,9,3,False,-0.046322,6,9,-0.107871,-0.129073,-10.725,0.000000,0.0000
HOOD,Robinhood,end_of_sample,9,3,False,-0.046322,0,9,-0.114659,-0.129073,-8.532,0.000000,0.0000
META,Meta,126D,112,17,False,-0.046708,82,112,-0.118235,-0.135118,-11.653,0.000000,0.0982
META,Meta,21D,112,17,False,-0.046708,18,112,-0.012255,-0.008594,-2.003,0.045146,0.4375
META,Meta,252D,112,17,False,-0.046708,98,112,-0.105916,-0.126252,-5.595,0.000000,0.0982
META,Meta,504D,112,17,False,-0.046708,101,112,-0.018854,-0.127774,-0.471,0.637945,0.1429
META,Meta,5D,112,17,False,-0.046708,6,112,-0.005153,-0.007201,-1.343,0.179430,0.4196
META,Meta,63D,112,17,False,-0.046708,41,112,-0.047107,-0.024815,-5.026,0.000001,0.3750
META,Meta,end_of_sample,112,17,False,-0.046708,0,112,-0.022688,-0.126252,-0.600,0.548479,0.1429
MSFT,Microsoft,126D,226,22,False,-0.018637,55,226,-0.024598,-0.043236,-2.709,0.006756,0.3938
MSFT,Microsoft,21D,226,22,False,-0.018637,5,226,-0.013295,-0.009971,-3.650,0.000262,0.4292
MSFT,Microsoft,252D,226,22,False,-0.018637,72,226,-0.059870,-0.066062,-5.409,0.000000,0.3407
MSFT,Microsoft,504D,226,22,False,-0.018637,147,226,-0.198311,-0.238719,-15.344,0.000000,0.1681
MSFT,Microsoft,5D,226,22,False,-0.018637,0,226,-0.005827,-0.005125,-2.718,0.006569,0.4204
MSFT,Microsoft,63D,226,22,False,-0.018637,28,226,-0.020651,-0.039517,-3.490,0.000482,0.2699
MSFT,Microsoft,end_of_sample,226,22,False,-0.018637,0,226,-0.337720,-0.350005,-31.413,0.000000,0.0000
NFLX,Netflix,126D,92,14,False,-0.015524,38,92,0.020182,0.005696,0.855,0.392481,0.5109
NFLX,Netflix,21D,92,14,False,-0.015524,9,92,0.006591,0.013510,0.552,0.580987,0.5652
NFLX,Netflix,252D,92,14,False,-0.015524,45,92,0.077863,-0.091434,1.946,0.051697,0.4022
NFLX,Netflix,504D,92,14,False,-0.015524,63,92,0.157341,-0.091434,2.323,0.020167,0.3261
NFLX,Netflix,5D,92,14,False,-0.015524,1,92,0.004267,-0.000567,0.667,0.504649,0.5000
NFLX,Netflix,63D,92,14,False,-0.015524,18,92,0.044632,0.044472,2.555,0.010604,0.6087
NFLX,Netflix,end_of_sample,92,14,False,-0.015524,0,92,0.009167,-0.091434,0.212,0.832428,0.2935
NVDA,Nvidia,126D,391,29,True,0.044550,141,391,0.206852,0.119419,12.750,0.000000,0.7877
NVDA,Nvidia,21D,391,29,True,0.044550,21,391,0.021030,0.007220,4.445,0.000009,0.5780
NVDA,Nvidia,252D,391,29,True,0.044550,218,391,0.361607,0.147423,14.325,0.000000,0.9872
NVDA,Nvidia,504D,391,29,True,0.044550,308,391,0.602162,0.160248,13.776,0.000000,0.9872
NVDA,Nvidia,5D,391,29,True,0.044550,1,391,0.006399,0.001467,2.113,0.034639,0.5115
NVDA,Nvidia,63D,391,29,True,0.044550,67,391,0.099567,0.059930,10.626,0.000000,0.6573
NVDA,Nvidia,end_of_sample,391,29,True,0.044550,0,391,0.802893,0.160248,11.264,0.000000,0.9872
PLTR,Palantir,126D,12,6,False,-0.035219,8,12,-0.235710,-0.275875,-5.898,0.000000,0.0000
PLTR,Palantir,21D,12,6,False,-0.035219,4,12,-0.082716,-0.080763,-4.373,0.000012,0.0833
PLTR,Palantir,252D,12,6,False,-0.035219,12,12,-0.253270,-0.275875,-5.546,0.000000,0.0000
PLTR,Palantir,504D,12,6,False,-0.035219,12,12,-0.253270,-0.275875,-5.546,0.000000,0.0000
PLTR,Palantir,5D,12,6,False,-0.035219,2,12,-0.027065,-0.038205,-2.033,0.042015,0.0833
PLTR,Palantir,63D,12,6,False,-0.035219,6,12,-0.196055,-0.204853,-5.891,0.000000,0.0000
PLTR,Palantir,end_of_sample,12,6,False,-0.035219,0,12,-0.253270,-0.275875,-5.546,0.000000,0.0000
PYPL,PayPal,126D,99,10,False,-0.067712,43,99,-0.227427,-0.326605,-12.121,0.000000,0.2020
PYPL,PayPal,21D,99,10,False,-0.067712,4,99,-0.028474,-0.042764,-3.134,0.001724,0.2929
PYPL,PayPal,252D,99,10,False,-0.067712,77,99,-0.283798,-0.358056,-13.662,0.000000,0.1818
PYPL,PayPal,504D,99,10,False,-0.067712,86,99,-0.388819,-0.407192,-17.788,0.000000,0.1212
PYPL,PayPal,5D,99,10,False,-0.067712,0,99,-0.005000,-0.008978,-0.981,0.326744,0.3535
PYPL,PayPal,63D,99,10,False,-0.067712,13,99,-0.129846,-0.136897,-10.039,0.000000,0.2222
PYPL,PayPal,end_of_sample,99,10,False,-0.067712,0,99,-0.440128,-0.453425,-15.904,0.000000,0.1212
ROKU,Roku,126D,1,1,False,0.008796,1,1,0.146404,0.146404,,,1.0000
ROKU,Roku,21D,1,1,False,0.008796,0,1,0.172080,0.172080,,,1.0000
ROKU,Roku,252D,1,1,False,0.008796,1,1,0.146404,0.146404,,,1.0000
ROKU,Roku,504D,1,1,False,0.008796,1,1,0.146404,0.146404,,,1.0000
ROKU,Roku,5D,1,1,False,0.008796,0,1,0.047184,0.047184,,,1.0000
ROKU,Roku,63D,1,1,False,0.008796,1,1,0.146404,0.146404,,,1.0000
ROKU,Roku,end_of_sample,1,1,False,0.008796,0,1,0.146404,0.146404,,,1.0000
SOFI,SoFi,126D,61,6,False,-0.066090,48,61,-0.213156,-0.262267,-5.741,0.000000,0.0492
SOFI,SoFi,21D,61,6,False,-0.066090,15,61,-0.058551,-0.085604,-3.630,0.000284,0.1475
SOFI,SoFi,252D,61,6,False,-0.066090,60,61,-0.301029,-0.278275,-12.667,0.000000,0.0000
SOFI,SoFi,504D,61,6,False,-0.066090,61,61,-0.302713,-0.278275,-12.836,0.000000,0.0000
SOFI,SoFi,5D,61,6,False,-0.066090,2,61,-0.002774,-0.018140,-0.310,0.756322,0.4098
SOFI,SoFi,63D,61,6,False,-0.066090,36,61,-0.138296,-0.164036,-4.847,0.000001,0.1475
SOFI,SoFi,end_of_sample,61,6,False,-0.066090,0,61,-0.302713,-0.278275,-12.836,0.000000,0.0000
TSLA,Tesla,126D,307,29,True,-0.029196,37,307,0.180969,0.055716,6.735,0.000000,0.5603
TSLA,Tesla,21D,307,29,True,-0.029196,8,307,0.010692,-0.017488,0.982,0.326150,0.4691
