event_id,ticker,event_date,control_event_id,control_event_date,bhar_5d_event,bhar_21d_event,bhar_63d_event
1,TSLA,2023-10-13,2251,2022-09-20,-0.1319285758623739,-0.1292899773931507,-0.2293945695877423
2,GOOGL,2023-10-13,579,2023-05-31,0.0110802434256974,-0.0585055078927245,-0.0677643625657855
3,AMZN,2023-06-23,406,2022-08-19,-0.0152811694313399,-0.0528610999079746,0.0013115575030188
4,NVDA,2023-06-23,28,2023-05-24,-0.0210419021720507,0.0308953418617781,-0.0111747384263215
5,TSLA,2023-06-23,2017,2022-12-15,-0.0030972593338389,-0.0174877532217749,-0.0427388421797764
6,PYPL,2026-03-07,683,2025-11-20,-0.0024083255312815,-0.0061056504147442,-0.117552781767553
7,MSFT,2026-02-06,1860,2025-10-11,0.0132922440069992,0.0332866969703624,-0.0337590417244471
8,UBER,2026-02-06,1944,2025-11-06,-0.0510858617495645,-0.0127713718599921,-0.0618771429187807
9,NVDA,2026-02-06,520,2025-11-04,-0.0011794369039952,0.0160090090398048,0.0897620578473552
10,NFLX,2026-02-06,1155,2025-08-01,-0.0519982727792125,0.1987795634859563,-0.0066164593783804
11,NFLX,2023-02-10,2152,2022-10-19,0.0036390011373131,-0.1109381897583601,-0.0340547494923311
12,AMZN,2023-06-16,1594,2022-10-30,0.0329122405687867,0.0428349217091688,0.1024175042633541
13,NFLX,2023-06-16,219,2023-03-24,-0.0188370214740565,0.0698179898196169,-0.1000023579287698
14,NVDA,2023-06-16,1870,2023-03-21,-0.0300029291797274,0.0668958829170562,0.0168766182434187
15,TSLA,2023-06-16,2171,2023-04-20,-0.0565565046327461,0.0820921722257195,0.0051430971270403
16,GOOGL,2024-01-08,75,2023-04-18,0.025593969194386,-0.0012582562866898,0.0302907425958629
17,TSLA,2024-01-08,170,2023-08-04,-0.0861184717602928,-0.269394746068418,-0.3620057226762254
18,TSLA,2023-08-18,108,2023-01-26,0.0992479353305317,0.2189120773362387,0.0489015943626081
19,AAPL,2023-08-18,1000,2022-10-02,0.0156621074074359,0.0084439032620715,0.0535651108945873
20,AMZN,2023-03-03,1192,2022-10-29,0.0012852210879638,0.0585306864248831,0.2465222146068777
21,NVDA,2025-08-27,333,2025-08-12,-0.0585864590635383,-0.0450508535949384,-0.0675584383006955
22,NVDA,2025-08-27,609,2024-08-01,-0.0585864590635383,-0.0450508535949384,-0.0675584383006955
23,DIS,2023-10-06,484,2023-09-01,0.0124370861394758,-0.0012961948501992,-0.0019752844582083
24,AMD,2023-10-06,1576,2022-12-31,-0.0246116157680794,0.0277376490818777,0.2537279928479219
25,MSFT,2023-10-06,2240,2022-09-30,-0.0031269907362971,0.075122187658265,0.0378717957408261
26,AAPL,2023-10-06,2233,2022-11-02,0.0030993425602778,-0.004514289250955,-0.0625379667683057
27,AAPL,2024-12-17,2128,2023-11-18,0.0202197395842135,-0.1229732104774383,-0.0772114156630887
28,NVDA,2023-05-24,1870,2023-03-21,0.2762105017603997,0.2772756680020003,0.4778559471422878
29,NFLX,2023-07-28,2153,2022-10-19,0.0357955114714015,0.0128587165479104,0.0416883591896555
30,MSFT,2023-07-28,2272,2023-04-26,-0.0091705204461126,-0.0103392984629122,0.0650017128715253
31,NFLX,2023-08-25,74,2023-04-18,0.0318257237109862,-0.0597965701723905,0.1142119537135113
32,NFLX,2023-08-25,2153,2022-10-19,0.0318257237109862,-0.0597965701723905,0.1142119537135113
33,MSFT,2023-08-25,2308,2023-01-31,-0.0079157694963651,-0.004951942536106,0.1324648430236097
34,AAPL,2023-09-08,283,2023-08-03,-0.0164755685170284,0.0308190167682604,0.0595818112581172
35,AAPL,2023-09-08,292,2023-08-12,-0.0164755685170284,0.0308190167682604,0.0595818112581172
36,AAPL,2023-09-08,2232,2022-11-02,-0.0164755685170284,0.0308190167682604,0.0595818112581172
37,AAPL,2023-09-08,303,2023-05-19,-0.0164755685170284,0.0308190167682604,0.0595818112581172
38,AAPL,2023-09-08,359,2023-08-11,-0.0164755685170284,0.0308190167682604,0.0595818112581172
39,AAPL,2023-09-08,2178,2023-09-07,-0.0164755685170284,0.0308190167682604,0.0595818112581172
40,AMD,2025-07-11,1938,2024-12-10,0.0658396155203935,0.1568916945742442,0.5113453335859115
41,AMZN,2023-09-30,242,2023-03-28,-0.0209236808662678,0.0493588621821253,0.0475279677932227
42,MSFT,2023-09-30,185,2023-08-18,0.0132681274042074,0.0720029309996374,0.0442348854740533
43,MSFT,2023-09-30,2088,2023-03-07,0.0132681274042074,0.0720029309996374,0.0442348854740533
44,NVDA,2025-10-05,161,2025-09-15,0.0277437588832215,0.0654692290962748,-0.0239020455845788
45,MSFT,2023-07-07,2302,2022-11-09,-0.0006842045017998,-0.0488119230061526,-0.0223341798519173
46,AAPL,2023-11-20,314,2023-10-19,-0.0069593304866354,-0.0173440385119112,-0.1574832776237477
47,AAPL,2023-11-20,2236,2022-11-02,-0.0069593304866354,-0.0173440385119112,-0.1574832776237477
48,UBER,2023-11-20,,,0.0251918124235754,0.0733117588941356,0.3034743545731488
49,PYPL,2023-08-06,309,2023-08-05,-0.0120828464480793,-0.0151853276046153,-0.097010463873648
50,MSFT,2024-11-01,761,2024-07-20,-0.0178885367336658,-0.0046990787466607,-0.0525341478300396
51,MSFT,2024-11-01,386,2024-04-26,-0.0178885367336658,-0.0046990787466607,-0.0525341478300396
52,TSLA,2023-04-14,1991,2022-10-25,-0.1070453430571553,-0.1021443124945803,0.4725099684842526
