event_id,ticker,data_ticker,creator,title,published_at,event_timestamp_utc,event_date,days_from_now,yfinance_intraday_eligible,reason
429,AMD,AMD,Financial Education,You will never get a chance like this again‼️,2026-05-07T00:46:31Z,2026-05-07T00:46:31Z,2026-05-07,4,True,eligible recent event
79,AMD,AMD,Financial Education,"This stock could go to $1,000‼️",2026-04-22T23:46:55Z,2026-04-22T23:46:55Z,2026-04-22,19,True,eligible recent event
91,AMZN,AMZN,Kenan Grace,They Bet $950M Right Before The Ceasefire. You Got Rigged.,2026-04-22T01:54:55Z,2026-04-22T01:54:55Z,2026-04-22,19,True,eligible recent event
92,AMZN,AMZN,Kenan Grace,They Bet $950M Right Before The Ceasefire. You Got Rigged.,2026-04-22T01:54:55Z,2026-04-22T01:54:55Z,2026-04-22,19,True,eligible recent event
76,AMD,AMD,Financial Education,Once in a generation move just started‼️,2026-04-15T23:33:10Z,2026-04-15T23:33:10Z,2026-04-15,26,True,eligible recent event
77,AMD,AMD,Financial Education,Once in a generation move just started‼️,2026-04-15T23:33:10Z,2026-04-15T23:33:10Z,2026-04-15,26,True,eligible recent event
42,META,META,Kenan Grace,The TACO Trade | Trading Is EASY These Days,2026-04-09T18:42:37Z,2026-04-09T18:42:37Z,2026-04-09,32,True,eligible recent event
183,TSLA,TSLA,Graham Stephan,How I Bought A Tesla For $78,2026-04-05T16:00:41Z,2026-04-05T16:00:41Z,2026-04-05,36,True,eligible recent event
90,NVDA,NVDA,Kenan Grace,Learn How to Read Stock Charts Fast in 1 Video,2026-03-30T23:26:07Z,2026-03-30T23:26:07Z,2026-03-30,42,True,eligible recent event
521,AMZN,AMZN,Best of Us Investors,"This Week I'm Selling META, GOOG, MSFT, and AMZN and Not Buying AVGO",2026-03-17T12:00:37Z,2026-03-17T12:00:37Z,2026-03-17,55,True,eligible recent event
522,META,META,Best of Us Investors,"This Week I'm Selling META, GOOG, MSFT, and AMZN and Not Buying AVGO",2026-03-17T12:00:37Z,2026-03-17T12:00:37Z,2026-03-17,55,True,eligible recent event
128,SOFI,SOFI,STOCK UP! with LARRY JONES,Live Trade Session - Market Volatility,2026-02-27T22:13:56Z,2026-02-27T22:13:56Z,2026-02-27,73,False,outside yfinance intraday lookback window (>60 days)
104,NVDA,NVDA,STOCK UP! with LARRY JONES,MARKET Sell-Off while We are Making MONEY💰‼️,2026-02-26T21:26:28Z,2026-02-26T21:26:28Z,2026-02-26,74,False,outside yfinance intraday lookback window (>60 days)
